
github.com/AlDanial/cloc v 1.74  T=94.32 s (153.3 files/s, 46893.5 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
C/C++ Header                         11850         348839         420018        1631686
C++                                   1285         188264         220689         828319
C                                      521          38581          88051         443419
Pascal                                 165          12415          21063          57246
Perl                                   128          10254           7067          33047
CMake                                  160           1947           4043          11488
SQL                                     24           1089            885           7173
XML                                     30            650             79           5352
Bourne Shell                            70            847           1528           4173
JSON                                    43              5              0           3581
Puppet                                  10              0             61           3398
Protocol Buffers                        28            610           2340           2997
PO File                                 20            609           2674           1828
Markdown                                11            741              0           1726
Python                                   7            420            287           1649
Windows Module Definition               27             18             68           1167
R                                        1             58              0           1155
make                                     6            114             84            886
Bourne Again Shell                      12            176            326            837
yacc                                     2            148             64            812
HTML                                     4             13              7            691
RobotFramework                           1              0              0            545
lex                                      3            219            102            525
m4                                       5             37             27            467
dtrace                                   9             96             10            456
Prolog                                   1              9             40            447
INI                                     12             73              0            300
CSS                                      1             37              2            221
JavaScript                               1             33             62            140
Windows Resource File                    3             22             24            121
Java                                     2             21             13            111
D                                        1             14              8             97
Lisp                                     1             46             85             89
WiX source                               1             19             13             83
DOS Batch                                7             45            100             76
YAML                                     3             11              2             75
vim script                               1             13             42             50
SAS                                      1             14             22             32
SKILL                                    1              8             15             16
DTD                                      1              0              6             15
Visual Basic                             1              0              0             12
Windows Message File                     1              2              8              6
---------------------------------------------------------------------------------------
SUM:                                 14461         606517         769915        3046514
---------------------------------------------------------------------------------------
